ZdAId;ZdAVersion;ZdACreated;ZdAChanged;ZdAName;ZdAXEpsg2154;ZdAYEpsg2154;ZdCId;ZdAPostalRegion;ZdATown;ZdAType
50969;50969-72288;2014-12-29T15:31:51+01:00;2024-07-17T14:11:48+02:00;Parc de la Légion d'Honneur;653414;6870351;72288;93066;Saint-Denis;onstreetBus
44167;44167-70639;2014-12-29T15:31:51+01:00;2024-07-17T13:58:54+02:00;Montsouris - Tombe Issoire;650860;6858289;70639;75114;Paris 14e;onstreetBus
50771;50771-70171;2014-12-29T15:31:51+01:00;2024-07-17T13:17:20+02:00;Montaigut;659180;6854602;70171;94028;Créteil;onstreetBus
45472;45472-73659;2014-12-29T15:31:51+01:00;2024-07-17T13:15:06+02:00;Michel-Ange - Varize;645585;6860358;73659;75116;Paris 16e;onstreetBus
46514;46514-72005;2014-12-29T15:31:51+01:00;2024-07-17T13:13:14+02:00;Metz - Etienne Dolet;661716;6865755;72005;93010;Bondy;onstreetBus
45626;1351830-1351829;2014-12-29T00:00:00+01:00;2024-07-17T13:11:50+02:00;Ménilmontant - Pelleport;655927;6863597;71844;75120;Paris 20e;onstreetBus
473573;1100837-71703;2019-03-19T00:00:00+01:00;2024-07-17T12:58:00+02:00;Maraichers;656420;6861567;71703;75120;Paris 20e;onstreetBus
46497;1301675-1347707;2014-12-29T00:00:00+01:00;2024-07-17T12:45:42+02:00;Lycée Professionnel Simone Weil - Église de Pantin;656713;6866057;482832;93055;Pantin;onstreetBus
47061;804670-804665;2014-12-29T00:00:00+01:00;2024-07-17T12:41:42+02:00;Lycée de Morangis;650461;6845326;424720;91432;Morangis;onstreetBus
51227;51227-63151;2014-12-29T15:31:51+01:00;2024-07-17T12:24:42+02:00;Les Fontaines;656241;6846293;63151;91027;Athis-Mons;onstreetBus
47339;47339-1349015;2014-12-29T15:31:51+01:00;2024-07-17T12:18:37+02:00;Léo Lagrange;662539;6867491;72480;93010;Bondy;onstreetBus
53182;53182-71766;2014-12-29T15:31:51+01:00;2024-07-17T12:18:04+02:00;Lenain De Tillemont;660357;6862424;71766;93048;Montreuil;onstreetBus
45659;45659-700162;2014-12-29T15:31:51+01:00;2024-07-17T12:05:27+02:00;La Plaine;656286;6861346;71681;75120;Paris 20e;onstreetBus
57043;57043-71917;2014-12-29T15:31:51+01:00;2024-07-16T16:59:14+02:00;Place Saint-Martin;660061;6864658;71917;93053;Noisy-le-Sec;onstreetBus
44942;1592506-1592511;2014-12-29T15:31:51+01:00;2024-07-15T15:38:51+02:00;Thionville-sur-Opton;597456;6853744;63679;78381;Maulette;onstreetBus
473421;1591506-1095762;2019-03-13T00:00:00+01:00;2024-07-15T09:08:51+02:00;La Frette - Montigny;640013;6875937;65659;95257;La Frette-sur-Seine;onstreetBus
52200;52200-65904;2014-12-29T15:31:51+01:00;2024-07-12T07:55:51+02:00;Rue du Fer à Cheval;655331;6877030;65904;95585;Sarcelles;onstreetBus
462394;1590890-1180723;2018-09-25T00:00:00+02:00;2024-07-09T07:20:12+02:00;Gare du Nord;652822;6864890;71410;75110;Paris 10e;railStation
473609;1273235-64021;2019-03-18T00:00:00+01:00;2024-07-08T14:25:44+02:00;Gare de Versailles - Rive Droite;636408;6856978;64021;78646;Versailles;onstreetBus
51295;1350061-1571855;2014-12-29T00:00:00+01:00;2024-07-08T09:16:27+02:00;Institut Gustave Roussy - Entrée Principale;652261;6855033;478860;94076;Villejuif;onstreetBus
57771;57771-63461;2014-12-29T15:31:51+01:00;2024-07-05T14:16:06+02:00;Bois de l'Etang;624024;6851613;63461;78644;La Verrière;onstreetBus
50797;50797-69967;2014-12-29T15:31:51+01:00;2024-07-05T11:28:04+02:00;Tournelles;651498;6853082;69967;94038;L'Haÿ-les-Roses;onstreetBus
50784;1362711-1534277;2014-12-29T00:00:00+01:00;2024-07-05T11:28:04+02:00;Four Peary / Choisy Sud;656807;6850558;69742;94022;Choisy-le-Roi;onstreetBus
58361;58361-69822;2014-12-29T15:31:51+01:00;2024-07-05T11:28:04+02:00;Panhard - Hugo;655666;6851682;69822;94073;Thiais;onstreetBus
46592;46592-70891;2014-12-29T15:31:51+01:00;2024-07-05T11:28:04+02:00;Les Bergères;643333;6865296;70891;92062;Puteaux;onstreetBus
423164;897530-897531;2016-07-14T00:00:00+02:00;2024-07-05T11:28:04+02:00;17 Octobre 1961;642574;6866739;423192;92050;Nanterre;onstreetBus
51182;51182-69831;2014-12-29T15:31:51+01:00;2024-07-05T11:28:04+02:00;Mairie;655401;6851742;69831;94073;Thiais;onstreetBus
50597;50597-70918;2014-12-29T15:31:51+01:00;2024-07-05T11:28:04+02:00;Liberté;642403;6865989;70918;92050;Nanterre;onstreetBus
57234;57234-70907;2014-12-29T15:31:51+01:00;2024-07-04T11:48:14+02:00;Place Foch;640837;6865683;70907;92050;Nanterre;onstreetBus
50499;1323263-1323264;2014-12-29T00:00:00+01:00;2024-07-04T11:48:14+02:00;Félix Faure (av Georges Clemenceau);642329;6865407;70893;92050;Nanterre;onstreetBus
50579;50579-660412;2014-12-29T15:31:51+01:00;2024-07-04T11:48:14+02:00;Clémenceau - Sadi Carnot;642018;6865458;70895;92050;Nanterre;onstreetBus
47031;47031-1321951;2014-12-29T15:31:51+01:00;2024-07-03T19:16:57+02:00;Abel Gance;645565;6859621;71051;92012;Boulogne-Billancourt;onstreetBus
51304;51304-69758;2014-12-29T15:31:51+01:00;2024-07-03T19:16:57+02:00;Crèche Jean Effel;656954;6850773;69758;94022;Choisy-le-Roi;onstreetBus
50596;50596-71441;2014-12-29T15:31:51+01:00;2024-07-03T19:16:57+02:00;Paul Lafargue;644734;6865349;71441;92062;Puteaux;onstreetBus
44391;44391-63153;2014-12-29T15:31:51+01:00;2024-07-03T19:16:55+02:00;Place de Mons;655932;6846348;63153;91027;Athis-Mons;onstreetBus
426757;876774-876776;2017-08-02T21:12:29+02:00;2024-06-28T13:40:16+02:00;Montagne des Glaises;660465;6834888;426758;91174;Corbeil-Essonnes;onstreetBus
473420;1095734-1095749;2019-03-13T00:00:00+01:00;2024-06-28T08:43:35+02:00;Gare de La Ferté-sous-Jouarre;709123;6872290;68918;77183;La Ferté-sous-Jouarre;onstreetBus
426219;1577285-1097476;2017-04-13T00:00:00+02:00;2024-06-28T06:49:24+02:00;Mairie - Rosny-sous-Bois RER;662387;6863626;71935;93064;Rosny-sous-Bois;onstreetBus
486043;1438316-1578823;2022-10-25T16:46:34+02:00;2024-06-27T12:48:31+02:00;Alfred Nobel;664353;6870468;491786;93071;Sevran;onstreetBus
426373;855264-1233000;2017-05-23T00:00:00+02:00;2024-06-27T12:36:51+02:00;Calmette et Guérin;664395;6872525;73505;93005;Aulnay-sous-Bois;onstreetBus
42958;42958-73571;2014-12-29T15:31:51+01:00;2024-06-27T12:36:36+02:00;Epis;663650;6875252;73571;93073;Tremblay-en-France;onstreetBus
48699;48699-63228;2014-12-29T15:31:51+01:00;2024-06-27T12:22:25+02:00;Sabot d'Argent;619922;6847336;63228;78220;Les Essarts-le-Roi;onstreetBus
418996;715723-715725;2015-07-07T14:33:48+02:00;2024-06-27T12:18:24+02:00;Paray Gare;615034;6820528;418997;78071;Boinville-le-Gaillard;onstreetBus
45902;1328485-1328486;2014-12-29T00:00:00+01:00;2024-06-26T15:52:59+02:00;Chaperon Vert - Lénine;651149;6857611;70546;75114;Paris 14e;onstreetBus
463873;1034946-73647;2019-02-21T00:00:00+01:00;2024-06-26T15:52:49+02:00;Charonne - Voltaire;654913;6861800;73647;75111;Paris 11e;onstreetBus
42561;42561-71728;2014-12-29T15:31:51+01:00;2024-06-26T15:52:49+02:00;Charonne - Bagnolet;655522;6861983;71728;75111;Paris 11e;onstreetBus
